order_date,color,customer_id,sales
113579,2014-12-13,white,KD-16345,90.24
113768,2014-05-13,red,AH-10030,287.45599999999996
113859,2014-09-13,red,BC-11125,340.116
113880,2014-03-01,red,VF-21715,651.5880000000001
113887,2014-04-05,red,TH-21550,55.48
113929,2014-06-16,red,CK-12205,115.95200000000001
113964,2014-09-23,red,JP-16135,18.464000000000002
114125,2014-07-09,red,GH-14410,68.704
114181,2014-05-10,white,AF-10885,372.285
114195,2014-11-01,red,EA-14035,94.264
114251,2014-11-05,red,MD-17350,1476.8339999999998
114314,2014-10-11,red,DB-13555,16.23
114321,2014-08-20,red,NC-18535,1417.35
114335,2014-09-28,red,XP-21865,337.088
114433,2014-05-13,red,NP-18325,149.97
114510,2014-03-14,red,JF-15295,280.276
114517,2014-12-23,red,TH-21235,109.836
114643,2014-06-13,red,FM-14215,14.52
114790,2014-03-11,white,FM-14215,782.63
115049,2014-09-26,red,MM-17920,153.82399999999998
115056,2014-05-02,white,AR-10510,26.136
115084,2014-10-18,red,LS-17200,605.34
115133,2014-09-26,red,DA-13450,52.751999999999995
115161,2014-01-31,red,LC-17050,290.666
115259,2014-08-25,white,RC-19960,199.25599999999997
115336,2014-11-18,red,AB-10600,14.48
115357,2014-08-06,white,RF-19735,62.91
115791,2014-01-16,white,DL-13315,299.964
115812,2014-06-09,red,BH-11710,3714.304
115889,2014-11-02,red,SH-20395,409.30400000000003
115973,2014-11-24,red,NG-18430,2.6239999999999997
115980,2014-07-15,red,VW-21775,9.51
116190,2014-07-26,red,SG-20470,256.48
116239,2014-03-04,white,CL-12565,354.9
116246,2014-09-12,white,LW-17215,3785.292
116407,2014-11-15,red,JF-15190,362.176
116568,2014-12-14,red,BM-11785,186.304
116666,2014-05-08,red,KT-16480,1799.97
116673,2014-12-15,white,JO-15280,6.16
116757,2014-06-30,red,MS-17980,47.232
116785,2014-04-26,red,MH-17290,34.0
116834,2014-10-11,red,Dp-13240,408.47
116904,2014-09-23,red,SC-20095,9900.19
116932,2014-07-21,red,ME-18010,1173.616
117016,2014-03-04,red,SC-20095,15.552
117317,2014-10-19,white,JF-15490,13.44
117345,2014-08-01,red,BF-10975,202.896
117429,2014-10-07,red,MR-17545,129.92
117464,2014-07-22,white,NP-18325,1136.0919999999999
117478,2014-09-21,red,LH-16750,6.57
117639,2014-05-21,red,MW-18235,3333.9
117709,2014-05-04,red,PM-18940,46.8
117765,2014-09-07,red,RB-19465,643.78
118192,2014-01-13,red,MM-17920,40.846
118276,2014-12-29,red,MG-17890,8.736
118304,2014-04-29,red,KH-16360,19.98
118339,2014-03-17,red,BN-11515,249.92
118962,2014-08-05,red,CS-12130,472.04400000000004
118976,2014-04-28,red,MY-18295,526.96
119032,2014-11-27,red,MS-17770,3.76
119144,2014-11-16,red,JD-16150,730.8525
119151,2014-11-25,white,MP-18175,1393.872
119172,2014-05-11,red,HD-14785,122.052
119375,2014-11-17,red,YC-21895,3116.49
119466,2014-12-15,red,SP-20860,8.544
119529,2014-11-03,white,DM-13345,5.76
119977,2014-10-08,white,DN-13690,123.92
120096,2014-07-04,red,KE-16420,209.968
120243,2014-12-27,white,AT-10435,11.56
120278,2014-11-07,red,MS-17365,317.48
120411,2014-09-20,red,SB-20185,504.55
120432,2014-08-24,white,DW-13585,25.5
120474,2014-12-01,red,RP-19390,2854.48
120544,2014-11-23,red,SS-20140,46.088
120670,2014-11-02,red,JK-16120,799.92
120768,2014-12-19,white,IM-15070,1979.89
120775,2014-10-03,red,RD-19930,57.908
120838,2014-03-23,white,PO-18865,935.1519999999999
120852,2014-12-20,red,WB-21850,84.87200000000001
120887,2014-09-27,red,TS-21205,87.54
120950,2014-11-06,red,GA-14515,43.68
121006,2014-11-10,red,SC-20020,1194.87
121167,2014-11-28,white,MO-17500,17.248
121286,2014-11-04,white,ON-18715,66.616
121573,2014-11-03,red,SG-20605,840.712
121629,2014-11-28,red,BT-11680,998.85
121664,2014-05-06,red,HP-14815,140.736
121727,2014-08-19,red,JK-15625,10.72
121762,2014-02-14,red,ML-17395,560.55
121769,2014-04-08,red,JS-15880,172.11
122070,2014-04-22,white,AH-10030,257.752
122217,2014-11-24,red,HP-14815,111.15
122336,2014-04-13,white,JD-15895,630.746
122567,2014-02-16,red,MN-17935,9.04
122588,2014-11-25,white,AR-10540,52.96
122609,2014-11-12,red,DP-13000,153.112
122679,2014-07-22,red,AB-10255,19.68
122749,2014-12-03,red,NG-18430,479.96
122882,2014-09-07,red,SB-20290,539.0740000000001
122931,2014-09-29,red,SM-20950,2358.672
123064,2014-06-30,red,RA-19915,5.247999999999999
123127,2014-09-08,red,SP-20620,16.78
123225,2014-07-11,red,MN-17935,586.336
123253,2014-08-22,white,DE-13255,3.912
123260,2014-08-26,red,FM-14290,176.8
123295,2014-07-18,white,AH-10120,259.13599999999997
123316,2014-10-13,red,SP-20545,7.752000000000001
123323,2014-11-07,red,LH-16900,123.14399999999999
123344,2014-09-24,red,JD-16060,211.96
123400,2014-02-02,red,EB-13930,199.296
123477,2014-01-18,white,DW-13195,64.86399999999999
123498,2014-11-07,red,TC-20980,100.398
123855,2014-06-18,red,MC-18100,139.8
123925,2014-12-17,white,RF-19840,40.05
124023,2014-04-07,red,PJ-19015,8.96
124079,2014-12-13,red,RF-19345,93.17399999999999
124247,2014-12-16,red,SH-20635,1403.92
124394,2014-10-17,white,TB-21520,130.756
124429,2014-05-27,white,MH-17785,926.44
124464,2014-07-14,red,SS-20515,39.48
124478,2014-08-08,red,MA-17560,1109.725
124513,2014-09-21,red,SL-20155,66.03
124618,2014-05-02,white,CS-11860,479.98400000000004
124646,2014-06-22,red,DV-13465,663.75
124688,2014-08-27,red,CC-12610,1812.01
124702,2014-11-18,red,MH-17785,867.74
124709,2014-07-27,white,GW-14605,238.0
124723,2014-08-05,red,GZ-14470,489.23
124730,2014-11-26,white,LS-17245,414.63
124737,2014-08-23,red,AP-10915,424.376
124807,2014-07-12,white,ME-17725,59.696000000000005
124856,2014-09-29,white,LD-17005,1609.32
125136,2014-09-28,red,KD-16495,106.944
125150,2014-05-16,red,PW-19030,232.88
125171,2014-09-03,white,AG-10390,14.4
125514,2014-09-21,red,BM-11650,68.71
125542,2014-12-05,red,NB-18655,521.224
125556,2014-11-14,white,ML-17410,876.73
125612,2014-08-03,red,BK-11260,163.62
125682,2014-11-22,red,RB-19645,9.96
125731,2014-09-10,red,CL-12565,1508.7679999999998
125759,2014-02-08,red,NM-18445,14.56
125829,2014-11-04,red,WB-21850,1729.4160000000002
125997,2014-09-20,red,MW-18220,3519.37
126032,2014-06-23,red,BS-11665,86.376
126193,2014-09-07,red,SS-20410,321.978
126200,2014-08-25,red,JE-15715,38.064
126277,2014-09-13,white,LH-16900,2.502
126333,2014-12-23,red,ME-18010,5.184
126361,2014-08-04,white,VD-21670,2126.034
126403,2014-09-09,white,RR-19525,2304.37
126480,2014-09-20,red,HG-14965,8.56
126522,2014-09-01,white,LT-16765,53.94
126683,2014-09-29,white,PP-18955,2354.98
126760,2014-07-26,red,KM-16720,1891.316
126802,2014-12-29,red,ZC-21910,38.976
126907,2014-11-01,red,SM-20950,15.696
126963,2014-06-15,white,PS-18760,36.544000000000004
127012,2014-08-11,red,GM-14680,76.28
127131,2014-11-24,red,HR-14830,721.4760000000001
127159,2014-05-12,red,HL-15040,34.79
127166,2014-05-21,white,KH-16360,186.908
127187,2014-12-04,red,CP-12085,129.98
127299,2014-09-19,red,JL-15835,2692.329
127383,2014-12-31,red,CM-11815,49.568000000000005
127446,2014-11-25,red,MC-17590,1273.623
127488,2014-09-22,white,MS-17365,4.6080000000000005
127523,2014-05-11,red,BG-11695,35.91
127558,2014-11-15,red,SS-20410,803.04
127586,2014-09-26,red,CS-12400,310.12
127614,2014-02-11,red,NF-18385,1508.13
127691,2014-07-22,red,EM-14065,165.94
127859,2014-03-17,white,QJ-19255,126.624
127866,2014-07-20,red,JD-15895,602.43
127936,2014-09-02,red,CL-12565,21.24
127964,2014-03-03,red,AP-10720,161.07
128055,2014-03-31,red,AA-10315,726.548
128062,2014-11-19,white,AD-10180,5.88
128146,2014-06-21,red,DB-13060,1326.69
128209,2014-11-17,red,GT-14710,6160.616
128237,2014-03-25,red,CA-12265,92.36
128524,2014-11-11,red,MZ-17515,2158.694
128538,2014-10-11,red,AS-10240,7.64
128622,2014-11-15,white,SC-20260,10.95
128839,2014-09-08,red,TT-21070,254.97
128846,2014-04-07,red,RS-19765,752.92
128888,2014-11-15,red,PB-19105,604.656
128986,2014-08-03,white,GH-14410,93.024
129091,2014-11-22,red,RA-19885,1022.61
129147,2014-11-02,red,LC-17050,609.438
129168,2014-08-17,red,KB-16585,15.552
129189,2014-07-21,red,HM-14860,751.8860000000001
129364,2014-12-08,red,TB-21250,265.784
129574,2014-05-26,red,Dp-13240,48.4
129819,2014-12-13,white,KC-16675,12.39
129924,2014-07-12,red,AC-10420,706.064
129938,2014-12-15,white,EB-13705,445.80199999999996
130092,2014-01-11,red,SV-20365,9.94
130155,2014-05-19,red,TD-20995,34.2
130274,2014-05-03,red,JS-15940,21.56
130421,2014-03-03,red,SC-20020,176.77200000000002
130428,2014-03-31,white,TG-21640,1142.165
130449,2014-09-06,red,VP-21760,100.36
130575,2014-12-14,red,CS-11845,9.264
130624,2014-06-21,red,TB-21280,697.32
130673,2014-05-20,white,MC-17590,108.444
130729,2014-10-24,red,AA-10375,34.272
130813,2014-01-06,white,LS-17230,19.44
130869,2014-11-17,red,CB-12025,7.08
130918,2014-08-22,white,JP-15520,7.632000000000001
130960,2014-12-30,red,KB-16600,9.84
131002,2014-09-07,white,TB-21400,1040.19
131009,2014-03-01,red,SC-20380,574.194
131051,2014-12-01,red,TR-21325,58.2
131247,2014-03-30,red,GA-14725,205.666
131310,2014-07-12,red,CL-12565,134.4
131387,2014-04-28,red,AI-10855,1679.96
131450,2014-08-08,red,LR-16915,2049.8160000000003
131527,2014-12-01,red,TB-21280,95.96799999999999
131541,2014-07-28,white,CK-12205,193.15200000000002
131800,2014-12-30,red,AJ-10960,158.388
131905,2014-02-06,red,ND-18460,321.56
131926,2014-06-01,white,DW-13480,3745.63
131947,2014-09-17,red,JA-15970,318.293
132010,2014-10-13,red,MA-17995,389.74
132227,2014-11-04,red,SZ-20035,52.06399999999999
132451,2014-09-26,red,KF-16285,604.992
132500,2014-09-08,red,GZ-14470,49.98
132542,2014-10-06,white,AM-10360,15.36
132612,2014-06-09,white,FO-14305,1441.3
132787,2014-09-19,red,MC-18130,92.52
132801,2014-10-07,red,JG-15805,107.44
132864,2014-12-02,red,KN-16390,119.8
132913,2014-12-24,red,AS-10090,13.97
132962,2014-09-13,red,JM-15535,267.552
132983,2014-04-28,red,DS-13180,159.98
133158,2014-08-19,white,DW-13195,358.69599999999997
133228,2014-04-04,red,MS-17710,84.83
133270,2014-06-06,red,BM-11785,13.36
133305,2014-07-11,red,MH-17455,67.4
133354,2014-02-22,red,SA-20830,19.44
133389,2014-06-22,white,TB-21280,8.226
133424,2014-03-30,red,Dl-13600,60.24
133543,2014-12-22,red,KM-16660,11.76
133592,2014-12-31,red,KM-16375,2846.22
133634,2014-11-05,red,SR-20740,47.79
133690,2014-08-03,red,BS-11755,221.35
133704,2014-09-20,red,MA-17995,64.152
133753,2014-06-09,white,CW-11905,142.344
133809,2014-11-18,white,MS-17530,21.396
133830,2014-12-05,red,RL-19615,90.58
133851,2014-06-09,red,CM-12445,30.46
133963,2014-05-18,white,GA-14515,3.984
134061,2014-04-29,red,LL-16840,17.46
134103,2014-01-30,red,MV-18190,240.5
134215,2014-08-04,red,ML-17395,617.12
134278,2014-07-06,red,EP-13915,559.992
134313,2014-11-01,red,RA-19915,2027.144
134551,2014-12-20,red,TS-21505,732.312
134572,2014-04-20,white,SV-20365,1190.53
134621,2014-12-21,red,DP-13390,18.24
134677,2014-10-06,red,XP-21865,9.09
134726,2014-11-02,white,SW-20755,94.73200000000001
135090,2014-11-22,red,SP-20920,53.82
135405,2014-01-09,red,MS-17830,40.544000000000004
135608,2014-12-08,white,JK-15625,649.6
135657,2014-06-03,white,SC-20725,515.88
135699,2014-08-29,white,HH-15010,123.28
135755,2014-05-03,red,NC-18415,51.071999999999996
135993,2014-05-28,red,PJ-18835,85.008
136280,2014-11-29,red,Co-12640,5.04
136336,2014-04-21,red,DB-13555,828.84
136399,2014-12-16,red,CC-12100,1308.1960000000001
136567,2014-12-20,red,PS-19045,2884.37
136644,2014-06-16,red,SC-20575,647.84
136742,2014-04-06,red,GP-14740,44.91
136861,2014-09-05,red,PR-18880,31.984
137092,2014-10-20,white,LS-16975,862.202
137274,2014-03-29,red,MG-18145,890.841
137351,2014-09-30,red,DB-13615,43.176
137575,2014-08-06,red,TB-21625,199.98
137589,2014-11-03,red,MS-17770,286.344
137911,2014-10-09,red,BP-11095,88.76799999999999
138023,2014-08-15,red,KH-16510,30.96
138072,2014-12-30,red,GA-14725,27.968000000000004
138100,2014-09-15,red,AA-10315,29.5
138128,2014-12-09,red,FP-14320,1110.6480000000001
138177,2014-09-19,red,ND-18460,73.915
138198,2014-07-18,red,JL-15130,13.904000000000002
138240,2014-10-09,red,SJ-20500,160.592
138296,2014-12-05,red,RC-19825,24.56
138317,2014-06-21,red,NW-18400,385.26099999999997
138359,2014-04-01,red,KH-16330,73.2
138436,2014-03-26,red,JD-15895,66.3
138450,2014-10-18,red,EH-13765,249.472
138513,2014-05-23,red,EH-13990,12.96
138527,2014-09-12,red,BN-11470,192.424
138681,2014-12-20,red,CT-11995,596.664
138709,2014-07-04,red,MS-17770,37.44
138737,2014-12-07,red,FP-14320,8.64
138940,2014-04-11,white,GM-14455,758.352
139017,2014-05-11,red,RM-19375,46.864
139192,2014-05-27,white,LC-16885,1213.494
139283,2014-11-23,red,BT-11440,14.67
139423,2014-11-01,red,DG-13300,76.12
139451,2014-10-12,red,DN-13690,36.29
139542,2014-10-25,red,EH-14185,54.474
139598,2014-12-26,red,MG-17695,361.608
139633,2014-12-17,red,EC-14050,5.484
139857,2014-02-02,red,CD-12790,12.35
139892,2014-09-08,red,BM-11140,10539.896
140004,2014-03-21,red,CB-12025,13.456
140032,2014-09-08,red,TS-21340,8.607999999999999
140039,2014-09-13,red,ON-18715,79.4
140165,2014-05-13,red,EH-14005,405.45599999999996
140228,2014-04-28,red,GB-14530,211.576
140396,2014-11-20,red,KH-16330,907.56
140403,2014-10-10,white,TN-21040,137.632
140473,2014-05-30,red,MC-17425,719.9760000000001
140487,2014-06-14,red,SR-20425,212.94
140662,2014-11-17,red,TS-21205,1075.37
140732,2014-11-11,white,MA-17560,707.628
140795,2014-02-01,red,BD-11500,468.9
140816,2014-12-20,white,TC-21295,447.944
140858,2014-06-28,red,CA-12775,1639.711
140886,2014-09-30,red,KW-16570,69.21600000000001
141005,2014-08-15,red,CS-12355,62.94
141110,2014-11-26,red,LS-17200,67.112
141152,2014-09-16,red,RF-19345,33.552
141173,2014-11-18,white,JC-16105,67.15
141278,2014-06-21,red,RM-19375,21.4
141299,2014-06-03,white,RB-19795,15.28
141313,2014-12-28,red,AJ-10780,2583.19
141355,2014-09-25,red,BF-11005,14.575999999999999
141607,2014-12-12,red,WB-21850,43.31
141649,2014-09-30,white,DM-12955,795.408
141726,2014-07-20,red,CC-12145,176.49400000000003
141796,2014-06-21,white,JG-15160,1214.85
141817,2014-01-05,red,MB-18085,19.535999999999998
141838,2014-03-26,white,DK-12835,60.08
141901,2014-08-09,red,GM-14500,5.98
142048,2014-06-22,red,JE-15745,196.752
142314,2014-12-23,red,SF-20200,207.24
142510,2014-12-22,red,NP-18700,274.096
142587,2014-10-21,red,TB-21520,531.382
142727,2014-04-29,white,HG-14845,69.9
142769,2014-09-13,white,RP-19390,561.73
142839,2014-08-16,red,TS-21610,853.092
142951,2014-10-08,white,JG-15115,23.471999999999998
142965,2014-07-20,white,SW-20245,53.343999999999994
142979,2014-04-12,red,EH-13765,39.68
143168,2014-10-18,white,IG-15085,63.303999999999995
143182,2014-10-15,red,DL-12865,15.384
143210,2014-12-01,red,AA-10645,327.56
143336,2014-08-27,white,ZD-21925,244.76
143371,2014-12-28,red,MD-17350,1049.97
143385,2014-08-31,red,SJ-20500,92.52
143413,2014-05-24,red,RP-19390,116.28
143637,2014-03-24,white,MS-17710,40.48
143840,2014-05-22,red,EH-14185,180.93
143903,2014-07-20,red,KM-16375,1340.976
143917,2014-07-25,white,KL-16645,8319.29
144029,2014-05-26,red,MM-18055,475.788
144071,2014-12-08,red,DJ-13420,119.32
144281,2014-06-10,white,HK-14890,491.55
144407,2014-09-09,red,MS-17365,103.6
144414,2014-06-17,red,GH-14425,3290.5159999999996
144624,2014-11-19,red,JM-15865,4548.81
144666,2014-11-09,white,JP-15520,1517.5739999999998
144974,2014-09-26,red,CM-12715,68.53
145212,2014-09-13,red,DC-12850,5.46
145254,2014-07-23,red,NC-18535,992.828
145317,2014-03-18,red,SM-20320,23661.228
145387,2014-10-31,white,AM-10705,2116.506
145541,2014-12-14,red,TB-21400,6999.96
145576,2014-09-14,white,CA-12775,26.128
145800,2014-05-30,red,SS-20410,355.455
145926,2014-11-17,red,MP-17470,479.9
146283,2014-09-08,red,KT-16465,1166.7160000000001
146500,2014-08-30,red,AT-10735,121.24
146528,2014-07-25,white,VF-21715,22.0
146591,2014-01-19,red,TS-21340,378.594
146640,2014-06-30,red,HA-14905,334.76800000000003
146703,2014-10-20,white,PO-18865,211.96
146731,2014-11-03,red,AT-10735,147.344
146815,2014-09-08,red,PP-18955,176.28400000000002
146843,2014-11-30,red,PB-19150,150.232
146864,2014-12-22,red,BT-11530,216.4
146885,2014-05-30,red,EB-13840,13.62
146969,2014-09-29,red,AP-10915,968.3
146990,2014-11-07,red,BP-11095,36.1
146997,2014-01-23,red,SG-20605,5.94
147235,2014-03-24,red,CD-11920,24.9
147298,2014-04-26,red,AG-10300,248.56799999999998
147543,2014-07-06,red,BC-11125,478.48
147900,2014-09-23,red,JK-15640,28.8
147914,2014-06-04,red,MP-17470,16.224
148040,2014-03-22,red,BF-11275,388.704
148285,2014-10-27,red,RD-19810,22.32
148369,2014-09-23,red,TH-21115,11.12
148383,2014-12-27,red,RP-19390,946.7639999999999
148425,2014-11-30,red,RF-19345,6.642
148488,2014-12-10,red,SM-20005,117.704
148586,2014-03-25,red,AZ-10750,366.786
148614,2014-01-20,red,MV-17485,38.66
148761,2014-05-17,red,PA-19060,91.68
148782,2014-11-02,red,PO-18850,88.77600000000001
148915,2014-11-01,red,ND-18370,599.896
148950,2014-12-14,red,JD-16015,43.016000000000005
149020,2014-01-10,red,AJ-10780,54.83
149055,2014-11-23,red,PB-19210,62.808
149104,2014-04-05,white,RD-19900,770.61
149244,2014-11-04,red,MS-17530,35.34
149524,2014-01-14,red,BS-11590,61.96
149538,2014-04-04,red,KB-16585,364.93
149594,2014-09-15,red,MF-18250,103.936
149643,2014-11-16,red,RH-19510,273.96
149958,2014-03-15,red,AS-10240,370.782
150203,2014-12-05,red,JB-15925,250.26
150245,2014-12-31,white,PC-18745,1573.4879999999998
150301,2014-07-08,red,MH-18025,63.882
150329,2014-10-10,red,SD-20485,46.872
150490,2014-08-05,red,SS-20590,78.12
150518,2014-11-19,red,MW-18220,503.13
150581,2014-04-08,red,NM-18445,499.55199999999996
150798,2014-12-01,white,JK-15730,1614.124
151001,2014-04-05,red,JG-15805,101.728
151078,2014-11-12,white,RF-19840,49.632
151162,2014-12-05,red,EA-14035,362.466
151295,2014-11-12,red,JA-15970,641.024
151330,2014-10-14,red,TC-21295,1885.27
151379,2014-12-16,red,SC-20695,114.2
151554,2014-11-14,red,CM-11815,20.736
151708,2014-08-08,red,MB-17305,217.352
151792,2014-09-02,white,CV-12295,239.976
151897,2014-06-06,red,VT-21700,100.24
151946,2014-06-04,red,BT-11440,440.048
151953,2014-09-20,red,DB-13555,2.8160000000000003
151967,2014-10-22,red,NB-18580,129.92
