pickup_dt,pickup_month,borough,pickups,hday,spd,vsb,temp,dewp,slp,pcp 01,pcp 06,pcp 24,sd
2015-01-01 04:00:00,Jan,EWR,0,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,Jan,Manhattan,3003,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,Jan,Queens,344,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,Jan,Staten Island,5,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,Jan,,2,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,Bronx,87,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,Brooklyn,759,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,EWR,0,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,Manhattan,1313,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,Queens,241,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,Staten Island,3,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,Jan,,3,Y,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,Jan,Bronx,65,Y,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,Jan,Brooklyn,457,Y,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,Jan,EWR,0,Y,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,Jan,Manhattan,672,Y,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,Jan,Queens,148,Y,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,Jan,Staten Island,0,Y,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,Jan,Bronx,25,Y,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,Jan,Brooklyn,270,Y,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,Jan,EWR,0,Y,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,Jan,Manhattan,431,Y,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,Jan,Queens,95,Y,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,Jan,Staten Island,0,Y,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,Jan,Bronx,17,Y,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,Jan,Brooklyn,165,Y,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,Jan,EWR,0,Y,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,Jan,Manhattan,329,Y,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,Jan,Queens,69,Y,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,Jan,Staten Island,0,Y,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,Jan,Bronx,13,Y,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,Jan,Brooklyn,149,Y,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,Jan,EWR,0,Y,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,Jan,Manhattan,319,Y,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,Jan,Queens,83,Y,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,Jan,Staten Island,1,Y,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,Bronx,14,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,Brooklyn,120,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,EWR,0,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,Manhattan,420,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,Queens,98,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,Staten Island,1,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,Jan,,1,Y,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,Jan,Bronx,14,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,Jan,Brooklyn,180,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,Jan,EWR,0,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,Jan,Manhattan,586,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,Jan,Queens,122,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,Jan,Staten Island,1,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,Bronx,12,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,Brooklyn,220,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,EWR,0,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,Manhattan,770,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,Queens,141,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,Staten Island,3,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 12:00:00,Jan,,1,Y,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,Bronx,18,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,Brooklyn,253,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,EWR,0,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,Manhattan,931,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,Queens,154,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,Staten Island,3,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 13:00:00,Jan,,2,Y,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,Bronx,23,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,Brooklyn,337,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,EWR,0,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,Manhattan,1012,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,Queens,203,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,Staten Island,1,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 14:00:00,Jan,,2,Y,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,Bronx,21,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,Brooklyn,371,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,EWR,0,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,Manhattan,1143,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,Queens,219,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,Staten Island,4,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 15:00:00,Jan,,2,Y,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0
2015-01-01 16:00:00,Jan,Bronx,19,Y,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 16:00:00,Jan,Brooklyn,418,Y,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 16:00:00,Jan,EWR,1,Y,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 16:00:00,Jan,Manhattan,1317,Y,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 16:00:00,Jan,Queens,247,Y,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 16:00:00,Jan,Staten Island,1,Y,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,Bronx,39,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,Brooklyn,444,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,EWR,0,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,Manhattan,1582,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,Queens,238,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,Staten Island,1,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,Jan,,2,Y,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,Jan,Bronx,28,Y,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,Jan,Brooklyn,456,Y,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,Jan,EWR,0,Y,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,Jan,Manhattan,1485,Y,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,Jan,Queens,257,Y,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,Jan,Staten Island,0,Y,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,Bronx,26,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,Brooklyn,463,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,EWR,0,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,Manhattan,1520,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,Queens,238,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,Staten Island,1,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,Jan,,1,Y,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,Bronx,33,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,Brooklyn,419,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,EWR,0,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,Manhattan,1444,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,Queens,250,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,Staten Island,0,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,Jan,,1,Y,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,Bronx,30,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,Brooklyn,439,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,EWR,0,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,Manhattan,1235,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,Queens,260,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,Staten Island,1,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,Jan,,1,Y,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,Bronx,32,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,Brooklyn,446,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,EWR,0,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,Manhattan,1153,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,Queens,267,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,Staten Island,1,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,Jan,,2,Y,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,Jan,Bronx,27,Y,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,Jan,Brooklyn,423,Y,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,Jan,EWR,0,Y,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,Jan,Manhattan,1025,Y,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,Jan,Queens,258,Y,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,Jan,Staten Island,1,Y,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,Jan,Bronx,24,N,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,Jan,Brooklyn,331,N,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,Jan,EWR,0,N,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,Jan,Manhattan,808,N,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,Jan,Queens,220,N,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,Jan,Staten Island,1,N,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,Jan,Bronx,19,N,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,Jan,Brooklyn,279,N,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,Jan,EWR,0,N,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,Jan,Manhattan,666,N,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,Jan,Queens,107,N,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,Jan,Staten Island,0,N,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,Jan,Bronx,16,N,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,Jan,Brooklyn,154,N,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,Jan,EWR,0,N,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,Jan,Manhattan,330,N,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,Jan,Queens,50,N,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,Jan,Staten Island,0,N,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,Bronx,7,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,Brooklyn,110,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,EWR,0,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,Manhattan,240,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,Queens,31,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,Staten Island,0,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,Jan,,1,N,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,Bronx,10,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,Brooklyn,109,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,EWR,0,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,Manhattan,241,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,Queens,35,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,Staten Island,0,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,Jan,,1,N,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,Jan,Bronx,9,N,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,Jan,Brooklyn,88,N,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,Jan,EWR,0,N,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,Jan,Manhattan,268,N,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,Jan,Queens,49,N,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,Jan,Staten Island,0,N,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,Jan,Bronx,7,N,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,Jan,Brooklyn,118,N,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,Jan,EWR,0,N,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,Jan,Manhattan,362,N,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,Jan,Queens,86,N,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,Jan,Staten Island,0,N,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0
2015-01-02 07:00:00,Jan,Bronx,15,N,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0
2015-01-02 07:00:00,Jan,Brooklyn,148,N,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0
2015-01-02 07:00:00,Jan,EWR,0,N,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0
2015-01-02 07:00:00,Jan,Manhattan,430,N,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0
2015-01-02 07:00:00,Jan,Queens,97,N,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0
2015-01-02 07:00:00,Jan,Staten Island,2,N,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,Bronx,11,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,Brooklyn,215,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,EWR,0,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,Manhattan,589,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,Queens,128,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,Staten Island,1,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 08:00:00,Jan,,1,N,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0
2015-01-02 09:00:00,Jan,Bronx,10,N,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0
2015-01-02 09:00:00,Jan,Brooklyn,289,N,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0
2015-01-02 09:00:00,Jan,EWR,0,N,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0
2015-01-02 09:00:00,Jan,Manhattan,843,N,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0
2015-01-02 09:00:00,Jan,Queens,141,N,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0
2015-01-02 09:00:00,Jan,Staten Island,0,N,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0
2015-01-02 10:00:00,Jan,Bronx,21,N,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0
