"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"10.03.2020","cities","Джалиль","",1
"10.03.2020","cities","Екатеринбург","",1
"10.03.2020","countries","Россия","",3
"10.03.2020","countries","Китай","",1
"09.03.2020","views","","",5
"09.03.2020","visitors","","",2
"09.03.2020","gender","М","",1
"09.03.2020","age","30-35","",1
"09.03.2020","gender_age","М","30-35",1
"09.03.2020","countries","Германия","",1
"09.03.2020","countries","Россия","",1
"09.03.2020","sections","Обсуждения","",3
"08.03.2020","views","","",5
"08.03.2020","visitors","","",2
"08.03.2020","gender","М","",2
"08.03.2020","age","18-21","",1
"08.03.2020","age","35-45","",1
"08.03.2020","gender_age","М","18-21",1
"08.03.2020","gender_age","М","35-45",1
"08.03.2020","cities","Санкт-Петербург","",1
"08.03.2020","countries","Южная Корея","",1
"08.03.2020","countries","Россия","",1
"08.03.2020","sections","Обсуждения","",3
"07.03.2020","views","","",7
"07.03.2020","visitors","","",5
"07.03.2020","gender","М","",4
"07.03.2020","age","18-21","",1
"07.03.2020","age","21-24","",1
"07.03.2020","age","24-27","",1
"07.03.2020","age","27-30","",1
"07.03.2020","gender_age","М","18-21",1
"07.03.2020","gender_age","М","21-24",1
"07.03.2020","gender_age","М","24-27",1
"07.03.2020","gender_age","М","27-30",1
"07.03.2020","cities","Санкт-Петербург","",3
"07.03.2020","countries","Россия","",4
"07.03.2020","countries","США","",1
"07.03.2020","sections","Обсуждения","",2
"06.03.2020","views","","",1
"06.03.2020","visitors","","",1
"06.03.2020","gender","М","",1
"06.03.2020","age","27-30","",1
"06.03.2020","gender_age","М","27-30",1
"06.03.2020","cities","Санкт-Петербург","",1
"06.03.2020","countries","Россия","",1
"05.03.2020","views","","",0
"05.03.2020","visitors","","",0
"04.03.2020","views","","",7
"04.03.2020","visitors","","",4
"04.03.2020","gender","М","",4
"04.03.2020","age","18-21","",2
"04.03.2020","age","30-35","",2
"04.03.2020","gender_age","М","18-21",2
"04.03.2020","gender_age","М","30-35",2
"04.03.2020","cities","Санкт-Петербург","",1
"04.03.2020","countries","Россия","",3
"04.03.2020","countries","Мексика","",1
"04.03.2020","sections","Обсуждения","",3
"03.03.2020","views","","",10
"03.03.2020","visitors","","",4
"03.03.2020","gender","Ж","",1
"03.03.2020","gender","М","",2
"03.03.2020","age","30-35","",1
"03.03.2020","age","35-45","",2
"03.03.2020","gender_age","Ж","35-45",1
"03.03.2020","gender_age","М","30-35",1
"03.03.2020","gender_age","М","35-45",1
"03.03.2020","cities","Магадан","",1
"03.03.2020","countries","Россия","",2
"03.03.2020","countries","Таиланд","",1
"03.03.2020","countries","Великобритания","",1
"03.03.2020","sections","Обсуждения","",6
"02.03.2020","views","","",2
"02.03.2020","visitors","","",2
"02.03.2020","gender","Ж","",1
"02.03.2020","age","24-27","",1
"02.03.2020","gender_age","Ж","24-27",1
"02.03.2020","cities","Санкт-Петербург","",1
"02.03.2020","countries","Россия","",2
"01.03.2020","views","","",2
"01.03.2020","visitors","","",2
"01.03.2020","gender","М","",2
"01.03.2020","age","35-45","",1
"01.03.2020","age","45+","",1
"01.03.2020","gender_age","М","35-45",1
"01.03.2020","gender_age","М","45+",1
"01.03.2020","cities","Минск","",1
"01.03.2020","countries","Россия","",1
"01.03.2020","countries","Беларусь","",1
"01.03.2020","members","Вышедшие участники","",1
"29.02.2020","views","","",1
"29.02.2020","visitors","","",1
"29.02.2020","gender","М","",1
"29.02.2020","age","18-21","",1
"29.02.2020","gender_age","М","18-21",1
"29.02.2020","countries","Россия","",1
"28.02.2020","views","","",3
"28.02.2020","visitors","","",2
"28.02.2020","gender","М","",2
"28.02.2020","age","18-21","",1
"28.02.2020","age","24-27","",1
"28.02.2020","gender_age","М","18-21",1
"28.02.2020","gender_age","М","24-27",1
"28.02.2020","cities","Санкт-Петербург","",1
"28.02.2020","cities","Ростов-на-Дону","",1
"28.02.2020","countries","Россия","",2
"27.02.2020","views","","",7
"27.02.2020","visitors","","",2
"27.02.2020","gender","Ж","",1
"27.02.2020","gender","М","",1
"27.02.2020","age","18-21","",1
"27.02.2020","age","27-30","",1
"27.02.2020","gender_age","Ж","18-21",1
"27.02.2020","gender_age","М","27-30",1
"27.02.2020","countries","Россия","",1
"27.02.2020","countries","Венгрия","",1
"27.02.2020","sections","Обсуждения","",4
"27.02.2020","sections","Фотоальбомы","",1
"26.02.2020","views","","",3
"26.02.2020","visitors","","",3
"26.02.2020","gender","Ж","",1
"26.02.2020","gender","М","",2
"26.02.2020","age","24-27","",1
"26.02.2020","age","27-30","",1
"26.02.2020","age","30-35","",1
"26.02.2020","gender_age","Ж","24-27",1
"26.02.2020","gender_age","М","27-30",1
"26.02.2020","gender_age","М","30-35",1
"26.02.2020","cities","Санкт-Петербург","",1
"26.02.2020","cities","Казань","",1
"26.02.2020","countries","Россия","",3
"26.02.2020","feedback","Нравится","",1
"25.02.2020","views","","",3
"25.02.2020","visitors","","",3
"25.02.2020","gender","Ж","",1
"25.02.2020","age","18-21","",1
"25.02.2020","gender_age","Ж","18-21",1
"25.02.2020","cities","Оренбург","",1
"25.02.2020","countries","Россия","",2
"25.02.2020","countries","США","",1
"24.02.2020","views","","",4
"24.02.2020","visitors","","",3
"24.02.2020","gender","Ж","",1
"24.02.2020","gender","М","",1
"24.02.2020","age","18-21","",1
"24.02.2020","gender_age","М","18-21",1
"24.02.2020","countries","Россия","",2
"24.02.2020","countries","США","",1
"24.02.2020","sections","Фотоальбомы","",1
"23.02.2020","views","","",14
"23.02.2020","visitors","","",7
"23.02.2020","gender","М","",7
"23.02.2020","age","18-21","",3
"23.02.2020","age","21-24","",1
"23.02.2020","age","30-35","",3
"23.02.2020","gender_age","М","18-21",3
"23.02.2020","gender_age","М","21-24",1
"23.02.2020","gender_age","М","30-35",3
"23.02.2020","cities","Санкт-Петербург","",2
"23.02.2020","countries","Россия","",6
"23.02.2020","countries","Сингапур","",1
"23.02.2020","sections","Обсуждения","",8
"23.02.2020","members","Вышедшие участники","",1
"22.02.2020","views","","",5
"22.02.2020","visitors","","",3
"22.02.2020","gender","Ж","",1
"22.02.2020","gender","М","",2
"22.02.2020","age","21-24","",1
"22.02.2020","age","24-27","",1
"22.02.2020","age","27-30","",1
"22.02.2020","gender_age","Ж","24-27",1
"22.02.2020","gender_age","М","21-24",1
"22.02.2020","gender_age","М","27-30",1
"22.02.2020","cities","Санкт-Петербург","",2
"22.02.2020","countries","Россия","",3
"22.02.2020","sections","Фотоальбомы","",2
"22.02.2020","members","Вышедшие участники","",1
"21.02.2020","views","","",4
"21.02.2020","visitors","","",4
"21.02.2020","gender","М","",2
"21.02.2020","age","18-21","",1
"21.02.2020","age","30-35","",1
"21.02.2020","gender_age","М","18-21",1
"21.02.2020","gender_age","М","30-35",1
"21.02.2020","cities","Санкт-Петербург","",1
"21.02.2020","countries","Россия","",2
"21.02.2020","countries","Малайзия","",1
"21.02.2020","countries","США","",1
"20.02.2020","views","","",5
"20.02.2020","visitors","","",2
"20.02.2020","gender","Ж","",1
"20.02.2020","gender","М","",1
"20.02.2020","age","35-45","",1
"20.02.2020","gender_age","М","35-45",1
"20.02.2020","cities","Волгоград","",1
"20.02.2020","countries","Россия","",1
"20.02.2020","countries","Германия","",1
"20.02.2020","sections","Обсуждения","",3
"20.02.2020","members","Вышедшие участники","",1
"19.02.2020","views","","",2
"19.02.2020","visitors","","",2
"19.02.2020","gender","Ж","",1
"19.02.2020","gender","М","",1
"19.02.2020","age","24-27","",1
"19.02.2020","age","27-30","",1
"19.02.2020","gender_age","Ж","24-27",1
"19.02.2020","gender_age","М","27-30",1
"19.02.2020","cities","Санкт-Петербург","",2
"19.02.2020","countries","Россия","",2
"18.02.2020","views","","",5
"18.02.2020","visitors","","",2
"18.02.2020","gender","Ж","",1
"18.02.2020","age","30-35","",1
"18.02.2020","gender_age","Ж","30-35",1
"18.02.2020","countries","Россия","",1
"18.02.2020","countries","США","",1
"18.02.2020","sections","Обсуждения","",3
"17.02.2020","views","","",2
"17.02.2020","visitors","","",2
"17.02.2020","gender","Ж","",1
"17.02.2020","gender","М","",1
"17.02.2020","age","18-21","",1
"17.02.2020","age","21-24","",1
"17.02.2020","gender_age","Ж","18-21",1
"17.02.2020","gender_age","М","21-24",1
"17.02.2020","cities","Санкт-Петербург","",2
"17.02.2020","countries","Россия","",2
"16.02.2020","views","","",6
"16.02.2020","visitors","","",4
"16.02.2020","gender","М","",3
"16.02.2020","age","21-24","",2
"16.02.2020","age","30-35","",1
"16.02.2020","gender_age","М","21-24",2
"16.02.2020","gender_age","М","30-35",1
"16.02.2020","cities","Санкт-Петербург","",1
"16.02.2020","cities","Приозерск","",1
"16.02.2020","countries","Россия","",4
"16.02.2020","feedback","Нравится","",1
"15.02.2020","views","","",1
"15.02.2020","visitors","","",1
"15.02.2020","gender","Ж","",1
"15.02.2020","age","21-24","",1
"15.02.2020","gender_age","Ж","21-24",1
"15.02.2020","cities","Санкт-Петербург","",1
"15.02.2020","countries","Россия","",1
"14.02.2020","views","","",6
"14.02.2020","visitors","","",5
"14.02.2020","gender","Ж","",1
"14.02.2020","gender","М","",2
"14.02.2020","age","24-27","",1
"14.02.2020","age","30-35","",2
"14.02.2020","gender_age","Ж","24-27",1
"14.02.2020","gender_age","М","30-35",2
"14.02.2020","cities","Санкт-Петербург","",2
"14.02.2020","cities","Москва","",1
"14.02.2020","countries","Россия","",5
"14.02.2020","feedback","Нравится","",2
"13.02.2020","views","","",3
"13.02.2020","visitors","","",3
"13.02.2020","gender","Ж","",1
"13.02.2020","gender","М","",1
"13.02.2020","age","18-21","",1
"13.02.2020","age","30-35","",1
"13.02.2020","gender_age","Ж","30-35",1
"13.02.2020","gender_age","М","18-21",1
"13.02.2020","cities","Череповец","",1
"13.02.2020","countries","Россия","",2
"13.02.2020","countries","Казахстан","",1
"13.02.2020","members","Вышедшие участники","",1
"12.02.2020","views","","",3
"12.02.2020","visitors","","",2
"12.02.2020","gender","М","",1
"12.02.2020","age","21-24","",1
"12.02.2020","gender_age","М","21-24",1
"12.02.2020","countries","США","",1
"12.02.2020","countries","Россия","",1
"11.02.2020","views","","",2
"11.02.2020","visitors","","",2
"11.02.2020","gender","М","",1
"11.02.2020","age","21-24","",1
"11.02.2020","gender_age","М","21-24",1
"11.02.2020","countries","Россия","",2
"10.02.2020","views","","",7
"10.02.2020","visitors","","",4
"10.02.2020","gender","М","",2
"10.02.2020","age","30-35","",1
"10.02.2020","age","35-45","",1
"10.02.2020","gender_age","М","30-35",1
"10.02.2020","gender_age","М","35-45",1
"10.02.2020","cities","Москва","",1
"10.02.2020","countries","Россия","",2
"10.02.2020","countries","США","",1
"10.02.2020","countries","Канада","",1
"10.02.2020","sections","Обсуждения","",3
"09.02.2020","views","","",3
"09.02.2020","visitors","","",3
"09.02.2020","gender","Ж","",1
"09.02.2020","gender","М","",2
"09.02.2020","age","18-21","",1
"09.02.2020","age","27-30","",1
"09.02.2020","gender_age","М","18-21",1
"09.02.2020","gender_age","М","27-30",1
"09.02.2020","cities","Санкт-Петербург","",2
"09.02.2020","cities","Новокузнецк","",1
"09.02.2020","countries","Россия","",3
"09.02.2020","sections","Фотоальбомы","",1
"08.02.2020","views","","",1
"08.02.2020","visitors","","",1
"08.02.2020","gender","М","",1
"08.02.2020","age","21-24","",1
"08.02.2020","gender_age","М","21-24",1
"08.02.2020","countries","Россия","",1
"08.02.2020","feedback","Нравится","",1
"07.02.2020","views","","",6
"07.02.2020","visitors","","",5
"07.02.2020","gender","Ж","",2
"07.02.2020","gender","М","",3
"07.02.2020","age","18-21","",1
"07.02.2020","age","21-24","",1
"07.02.2020","age","24-27","",1
"07.02.2020","age","30-35","",2
"07.02.2020","gender_age","Ж","18-21",1
"07.02.2020","gender_age","Ж","21-24",1
"07.02.2020","gender_age","М","24-27",1
"07.02.2020","gender_age","М","30-35",2
"07.02.2020","cities","Санкт-Петербург","",4
"07.02.2020","cities","Пермь","",1
"07.02.2020","countries","Россия","",5
"07.02.2020","feedback","Нравится","",3
"07.02.2020","members","Новые участники","",2
"06.02.2020","views","","",7
"06.02.2020","visitors","","",6
"06.02.2020","gender","Ж","",3
"06.02.2020","gender","М","",3
"06.02.2020","age","18-21","",2
"06.02.2020","age","24-27","",2
"06.02.2020","age","35-45","",1
"06.02.2020","gender_age","Ж","18-21",2
"06.02.2020","gender_age","Ж","24-27",1
"06.02.2020","gender_age","М","24-27",1
"06.02.2020","gender_age","М","35-45",1
"06.02.2020","cities","Санкт-Петербург","",2
"06.02.2020","cities","Минск","",1
"06.02.2020","countries","Россия","",5
"06.02.2020","countries","Беларусь","",1
"06.02.2020","feedback","Нравится","",1
"05.02.2020","views","","",18
"05.02.2020","visitors","","",8
"05.02.2020","gender","Ж","",1
"05.02.2020","gender","М","",5
"05.02.2020","age","18-21","",2
"05.02.2020","age","21-24","",2
"05.02.2020","age","30-35","",1
"05.02.2020","gender_age","М","18-21",2
"05.02.2020","gender_age","М","21-24",2
"05.02.2020","gender_age","М","30-35",1
"05.02.2020","cities","Уфа","",1
"05.02.2020","cities","Санкт-Петербург","",1
"05.02.2020","countries","Россия","",7
"05.02.2020","countries","Финляндия","",1
"05.02.2020","feedback","Нравится","",4
"04.02.2020","views","","",2
"04.02.2020","visitors","","",2
"04.02.2020","gender","М","",2
"04.02.2020","age","18-21","",1
"04.02.2020","gender_age","М","18-21",1
"04.02.2020","cities","Санкт-Петербург","",1
"04.02.2020","countries","Россия","",1
"04.02.2020","countries","Украина","",1
"03.02.2020","views","","",8
"03.02.2020","visitors","","",5
"03.02.2020","gender","Ж","",1
"03.02.2020","gender","М","",2
"03.02.2020","age","21-24","",1
"03.02.2020","age","27-30","",1
"03.02.2020","gender_age","Ж","27-30",1
"03.02.2020","gender_age","М","21-24",1
"03.02.2020","cities","Санкт-Петербург","",2
"03.02.2020","countries","Россия","",4
"03.02.2020","countries","Франция","",1
"03.02.2020","sections","Обсуждения","",3
"02.02.2020","views","","",3
"02.02.2020","visitors","","",3
"02.02.2020","gender","Ж","",1
"02.02.2020","gender","М","",1
"02.02.2020","age","21-24","",1
"02.02.2020","age","30-35","",1
"02.02.2020","gender_age","Ж","21-24",1
"02.02.2020","gender_age","М","30-35",1
"02.02.2020","cities","Санкт-Петербург","",2
"02.02.2020","countries","Россия","",2
"02.02.2020","countries","США","",1
"01.02.2020","views","","",1
"01.02.2020","visitors","","",1
"01.02.2020","countries","Россия","",1
"31.01.2020","views","","",4
"31.01.2020","visitors","","",3
"31.01.2020","gender","Ж","",2
"31.01.2020","gender","М","",1
"31.01.2020","age","18-21","",1
"31.01.2020","age","21-24","",1
"31.01.2020","age","30-35","",1
"31.01.2020","gender_age","Ж","18-21",1
"31.01.2020","gender_age","Ж","21-24",1
"31.01.2020","gender_age","М","30-35",1
"31.01.2020","cities","Пермь","",1
"31.01.2020","cities","Павлодар","",1
"31.01.2020","cities","Санкт-Петербург","",1
"31.01.2020","countries","Россия","",3
"31.01.2020","sections","Обсуждения","",1
"30.01.2020","views","","",6
"30.01.2020","visitors","","",3
"30.01.2020","gender","Ж","",1
"30.01.2020","gender","М","",2
"30.01.2020","age","21-24","",1
"30.01.2020","age","27-30","",1
"30.01.2020","age","30-35","",1
"30.01.2020","gender_age","Ж","21-24",1
"30.01.2020","gender_age","М","27-30",1
"30.01.2020","gender_age","М","30-35",1
"30.01.2020","cities","Санкт-Петербург","",1
"30.01.2020","countries","Россия","",2
"30.01.2020","countries","США","",1
"30.01.2020","sections","Обсуждения","",3
"30.01.2020","members","Новые участники","",2
"30.01.2020","members","Вышедшие участники","",2
"29.01.2020","views","","",3
"29.01.2020","visitors","","",3
"29.01.2020","gender","М","",1
"29.01.2020","age","27-30","",1
"29.01.2020","gender_age","М","27-30",1
"29.01.2020","cities","Санкт-Петербург","",1
"29.01.2020","countries","США","",2
"29.01.2020","countries","Россия","",1
"28.01.2020","views","","",0
"28.01.2020","visitors","","",0
"27.01.2020","views","","",7
"27.01.2020","visitors","","",4
"27.01.2020","gender","М","",3
"27.01.2020","age","21-24","",1
"27.01.2020","age","27-30","",1
"27.01.2020","age","35-45","",1
"27.01.2020","gender_age","М","21-24",1
"27.01.2020","gender_age","М","27-30",1
"27.01.2020","gender_age","М","35-45",1
"27.01.2020","cities","Санкт-Петербург","",1
"27.01.2020","cities","Минск","",1
"27.01.2020","countries","Вьетнам","",1
"27.01.2020","countries","Азербайджан","",1
"27.01.2020","countries","Беларусь","",1
"27.01.2020","countries","Россия","",1
"27.01.2020","sections","Обсуждения","",3
"26.01.2020","views","","",2
"26.01.2020","visitors","","",2
"26.01.2020","gender","М","",2
"26.01.2020","age","27-30","",1
"26.01.2020","age","30-35","",1
"26.01.2020","gender_age","М","27-30",1
"26.01.2020","gender_age","М","30-35",1
"26.01.2020","cities","Санкт-Петербург","",1
"26.01.2020","countries","Россия","",2
"25.01.2020","views","","",3
"25.01.2020","visitors","","",2
"25.01.2020","gender","М","",2
"25.01.2020","age","18-21","",2
"25.01.2020","gender_age","М","18-21",2
"25.01.2020","cities","Санкт-Петербург","",2
"25.01.2020","countries","Россия","",2
"25.01.2020","sections","Обсуждения","",2
"24.01.2020","views","","",15
"24.01.2020","visitors","","",6
"24.01.2020","gender","Ж","",2
"24.01.2020","gender","М","",4
"24.01.2020","age","24-27","",1
"24.01.2020","age","27-30","",1
"24.01.2020","age","30-35","",2
"24.01.2020","gender_age","Ж","27-30",1
"24.01.2020","gender_age","Ж","30-35",1
"24.01.2020","gender_age","М","24-27",1
"24.01.2020","gender_age","М","30-35",1
"24.01.2020","cities","Санкт-Петербург","",3
"24.01.2020","cities","Москва","",1
"24.01.2020","countries","Россия","",5
"24.01.2020","countries","США","",1
"24.01.2020","sections","Обсуждения","",8
"24.01.2020","sections","Фотоальбомы","",1
"23.01.2020","views","","",2
"23.01.2020","visitors","","",2
"23.01.2020","gender","Ж","",1
"23.01.2020","gender","М","",1
"23.01.2020","age","27-30","",2
"23.01.2020","gender_age","Ж","27-30",1
"23.01.2020","gender_age","М","27-30",1
"23.01.2020","cities","Минск","",1
"23.01.2020","countries","Беларусь","",1
"23.01.2020","countries","Россия","",1
"22.01.2020","views","","",5
"22.01.2020","visitors","","",5
"22.01.2020","gender","Ж","",2
"22.01.2020","gender","М","",3
"22.01.2020","age","18-21","",2
"22.01.2020","age","21-24","",2
"22.01.2020","age","27-30","",1
"22.01.2020","gender_age","Ж","21-24",2
"22.01.2020","gender_age","М","18-21",2
"22.01.2020","gender_age","М","27-30",1
"22.01.2020","cities","Москва","",2
"22.01.2020","cities","Хабаровск","",1
"22.01.2020","cities","Ростов-на-Дону","",1
"22.01.2020","countries","Россия","",5
"21.01.2020","views","","",1
"21.01.2020","visitors","","",1
"21.01.2020","countries","США","",1
"20.01.2020","views","","",2
"20.01.2020","visitors","","",2
"20.01.2020","countries","Россия","",1
"20.01.2020","countries","Великобритания","",1
"19.01.2020","views","","",0
"19.01.2020","visitors","","",0
"17.01.2020","views","","",0
"17.01.2020","visitors","","",0
"16.01.2020","views","","",8
"16.01.2020","visitors","","",6
"16.01.2020","gender","М","",1
"16.01.2020","age","27-30","",1
"16.01.2020","gender_age","М","27-30",1
"16.01.2020","countries","Россия","",5
"16.01.2020","countries","США","",1
"15.01.2020","views","","",3
"15.01.2020","visitors","","",3
"15.01.2020","gender","Ж","",1
"15.01.2020","gender","М","",1
"15.01.2020","age","21-24","",1
"15.01.2020","age","24-27","",1
"15.01.2020","gender_age","Ж","21-24",1
"15.01.2020","gender_age","М","24-27",1
"15.01.2020","cities","Санкт-Петербург","",1
"15.01.2020","cities","Москва","",1
"15.01.2020","countries","Россия","",3
"14.01.2020","views","","",3
"14.01.2020","visitors","","",3
"14.01.2020","gender","М","",2
"14.01.2020","age","18-21","",1
"14.01.2020","age","35-45","",1
"14.01.2020","gender_age","М","18-21",1
"14.01.2020","gender_age","М","35-45",1
"14.01.2020","cities","Глухов","",1
"14.01.2020","countries","Россия","",2
"14.01.2020","countries","Украина","",1
"13.01.2020","views","","",3
"13.01.2020","visitors","","",3
"13.01.2020","gender","М","",2
"13.01.2020","age","18-21","",1
"13.01.2020","gender_age","М","18-21",1
"13.01.2020","countries","Россия","",3
"12.01.2020","views","","",1
"12.01.2020","visitors","","",1
"12.01.2020","gender","М","",1
"12.01.2020","age","18-21","",1
"12.01.2020","gender_age","М","18-21",1
"12.01.2020","countries","Россия","",1
"11.01.2020","views","","",6
"11.01.2020","visitors","","",4
"11.01.2020","gender","Ж","",2
"11.01.2020","gender","М","",2
"11.01.2020","age","18-21","",1
"11.01.2020","age","21-24","",1
"11.01.2020","age","24-27","",1
"11.01.2020","age","27-30","",1
"11.01.2020","gender_age","Ж","24-27",1
"11.01.2020","gender_age","Ж","27-30",1
"11.01.2020","gender_age","М","18-21",1
"11.01.2020","gender_age","М","21-24",1
"11.01.2020","cities","Санкт-Петербург","",3
"11.01.2020","cities","Уфа","",1
"11.01.2020","countries","Россия","",4
"11.01.2020","sections","Обсуждения","",1
"11.01.2020","members","Вышедшие участники","",1
"10.01.2020","views","","",0
"10.01.2020","visitors","","",0
"09.01.2020","views","","",10
"09.01.2020","visitors","","",4
"09.01.2020","gender","Ж","",2
"09.01.2020","gender","М","",2
"09.01.2020","age","18-21","",2
"09.01.2020","age","24-27","",1
"09.01.2020","gender_age","Ж","18-21",1
"09.01.2020","gender_age","Ж","24-27",1
"09.01.2020","gender_age","М","18-21",1
"09.01.2020","cities","Санкт-Петербург","",2
"09.01.2020","cities","Кемерово","",1
"09.01.2020","countries","Россия","",4
"09.01.2020","sections","Обсуждения","",4
"09.01.2020","sections","Видеозаписи","",1
"08.01.2020","views","","",2
"08.01.2020","visitors","","",2
"08.01.2020","gender","М","",1
"08.01.2020","age","45+","",1
"08.01.2020","gender_age","М","45+",1
"08.01.2020","countries","Беларусь","",1
"08.01.2020","countries","Россия","",1
"07.01.2020","views","","",7
"07.01.2020","visitors","","",4
"07.01.2020","gender","Ж","",1
"07.01.2020","gender","М","",1
"07.01.2020","age","18-21","",1
"07.01.2020","age","21-24","",1
"07.01.2020","gender_age","Ж","21-24",1
"07.01.2020","gender_age","М","18-21",1
"07.01.2020","cities","Санкт-Петербург","",1
"07.01.2020","countries","Россия","",4
"06.01.2020","views","","",1
"06.01.2020","visitors","","",1
"06.01.2020","gender","М","",1
"06.01.2020","age","24-27","",1
"06.01.2020","gender_age","М","24-27",1
"06.01.2020","cities","Санкт-Петербург","",1
"06.01.2020","countries","Россия","",1
"05.01.2020","views","","",1
"05.01.2020","visitors","","",1
"05.01.2020","gender","М","",1
"05.01.2020","age","18-21","",1
"05.01.2020","gender_age","М","18-21",1
"05.01.2020","countries","Россия","",1
"04.01.2020","views","","",0
"04.01.2020","visitors","","",0
"03.01.2020","views","","",4
"03.01.2020","visitors","","",3
"03.01.2020","gender","Ж","",1
"03.01.2020","gender","М","",2
"03.01.2020","age","30-35","",1
"03.01.2020","age","35-45","",1
"03.01.2020","age","45+","",1
"03.01.2020","gender_age","Ж","45+",1
"03.01.2020","gender_age","М","30-35",1
"03.01.2020","gender_age","М","35-45",1
"03.01.2020","cities","Санкт-Петербург","",1
"03.01.2020","cities","Саратов","",1
"03.01.2020","countries","Россия","",3
"02.01.2020","views","","",7
"02.01.2020","visitors","","",5
"02.01.2020","gender","М","",5
"02.01.2020","age","18-21","",2
"02.01.2020","age","24-27","",1
"02.01.2020","age","35-45","",2
"02.01.2020","gender_age","М","18-21",2
"02.01.2020","gender_age","М","24-27",1
"02.01.2020","gender_age","М","35-45",2
"02.01.2020","cities","Санкт-Петербург","",1
"02.01.2020","cities","Москва","",1
"02.01.2020","cities","Минск","",1
"02.01.2020","countries","Россия","",4
"02.01.2020","countries","Беларусь","",1
"02.01.2020","sections","Обсуждения","",2
"01.01.2020","views","","",1
"01.01.2020","visitors","","",1
"01.01.2020","gender","М","",1
"01.01.2020","age","30-35","",1
"01.01.2020","gender_age","М","30-35",1
"01.01.2020","cities","Санкт-Петербург","",1
"01.01.2020","countries","Россия","",1
"31.12.2019","views","","",4
"31.12.2019","visitors","","",3
"31.12.2019","gender","Ж","",1
"31.12.2019","gender","М","",1
"31.12.2019","age","30-35","",1
"31.12.2019","gender_age","М","30-35",1
"31.12.2019","cities","Санкт-Петербург","",1
"31.12.2019","countries","Россия","",3
"31.12.2019","sections","Обсуждения","",1
"30.12.2019","views","","",1
"30.12.2019","visitors","","",1
"30.12.2019","countries","Россия","",1
"30.12.2019","members","Новые участники","",1
"29.12.2019","views","","",7
"29.12.2019","visitors","","",4
"29.12.2019","gender","М","",4
"29.12.2019","age","18-21","",3
"29.12.2019","age","30-35","",1
"29.12.2019","gender_age","М","18-21",3
"29.12.2019","gender_age","М","30-35",1
"29.12.2019","cities","Уфа","",1
"29.12.2019","cities","Ноябрьск","",1
"29.12.2019","cities","Санкт-Петербург","",1
"29.12.2019","countries","Россия","",4
"29.12.2019","feedback","Нравится","",2
"28.12.2019","views","","",1
"28.12.2019","visitors","","",1
"28.12.2019","gender","Ж","",1
"28.12.2019","age","18-21","",1
"28.12.2019","gender_age","Ж","18-21",1
"28.12.2019","countries","Россия","",1
"28.12.2019","feedback","Нравится","",1
"27.12.2019","views","","",6
"27.12.2019","visitors","","",5
"27.12.2019","gender","М","",5
"27.12.2019","age","18-21","",4
"27.12.2019","age","30-35","",1
"27.12.2019","gender_age","М","18-21",4
"27.12.2019","gender_age","М","30-35",1
"27.12.2019","cities","Санкт-Петербург","",4
"27.12.2019","cities","Уфа","",1
"27.12.2019","countries","Россия","",5
"27.12.2019","feedback","Нравится","",9
"27.12.2019","feedback","Рассказали друзьям","",1
"27.12.2019","members","Новые участники","",2
