"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"08.03.2020","cities","Кулебаки","",1
"08.03.2020","countries","Россия","",8
"08.03.2020","countries","Украина","",1
"08.03.2020","members","Вышедшие участники","",1
"07.03.2020","views","","",17
"07.03.2020","visitors","","",12
"07.03.2020","gender","Ж","",2
"07.03.2020","gender","М","",6
"07.03.2020","age","27-30","",2
"07.03.2020","age","30-35","",2
"07.03.2020","age","35-45","",1
"07.03.2020","gender_age","Ж","30-35",1
"07.03.2020","gender_age","М","27-30",2
"07.03.2020","gender_age","М","30-35",1
"07.03.2020","gender_age","М","35-45",1
"07.03.2020","cities","Москва","",3
"07.03.2020","cities","Ростов-на-Дону","",1
"07.03.2020","cities","Санкт-Петербург","",1
"07.03.2020","cities","Одесса","",1
"07.03.2020","cities","Plymouth","",1
"07.03.2020","countries","Россия","",11
"07.03.2020","countries","","",1
"06.03.2020","views","","",12
"06.03.2020","visitors","","",11
"06.03.2020","gender","Ж","",5
"06.03.2020","gender","М","",5
"06.03.2020","age","1-18","",1
"06.03.2020","age","21-24","",1
"06.03.2020","age","30-35","",2
"06.03.2020","age","35-45","",4
"06.03.2020","gender_age","Ж","1-18",1
"06.03.2020","gender_age","Ж","21-24",1
"06.03.2020","gender_age","Ж","30-35",1
"06.03.2020","gender_age","Ж","35-45",1
"06.03.2020","gender_age","М","30-35",1
"06.03.2020","gender_age","М","35-45",3
"06.03.2020","cities","Москва","",2
"06.03.2020","cities","Санкт-Петербург","",1
"06.03.2020","cities","Омск","",1
"06.03.2020","cities","Краснодар","",1
"06.03.2020","countries","Россия","",8
"06.03.2020","countries","Казахстан","",1
"06.03.2020","countries","Украина","",1
"06.03.2020","countries","Узбекистан","",1
"06.03.2020","sections","Видеозаписи","",1
"06.03.2020","members","Новые участники","",1
"05.03.2020","views","","",16
"05.03.2020","visitors","","",11
"05.03.2020","gender","Ж","",3
"05.03.2020","gender","М","",6
"05.03.2020","age","27-30","",2
"05.03.2020","age","30-35","",4
"05.03.2020","age","35-45","",1
"05.03.2020","gender_age","Ж","27-30",1
"05.03.2020","gender_age","Ж","30-35",2
"05.03.2020","gender_age","М","27-30",1
"05.03.2020","gender_age","М","30-35",2
"05.03.2020","gender_age","М","35-45",1
"05.03.2020","cities","Нижневартовск","",2
"05.03.2020","cities","Санкт-Петербург","",1
"05.03.2020","cities","Рубцовск","",1
"05.03.2020","cities","Wuhan","",1
"05.03.2020","cities","Москва","",1
"05.03.2020","cities","Одесса","",1
"05.03.2020","countries","Россия","",9
"05.03.2020","countries","США","",1
"05.03.2020","countries","","",1
"05.03.2020","sections","Видеозаписи","",1
"05.03.2020","members","Вышедшие участники","",2
"04.03.2020","views","","",9
"04.03.2020","visitors","","",8
"04.03.2020","gender","Ж","",1
"04.03.2020","gender","М","",4
"04.03.2020","age","30-35","",3
"04.03.2020","age","35-45","",1
"04.03.2020","gender_age","Ж","35-45",1
"04.03.2020","gender_age","М","30-35",3
"04.03.2020","cities","Брянск","",1
"04.03.2020","cities","Новосибирск","",1
"04.03.2020","cities","Щекино","",1
"04.03.2020","cities","Москва","",1
"04.03.2020","countries","Россия","",6
"04.03.2020","countries","Литва","",1
"04.03.2020","countries","Украина","",1
"04.03.2020","members","Новые участники","",1
"03.03.2020","views","","",15
"03.03.2020","visitors","","",9
"03.03.2020","gender","Ж","",1
"03.03.2020","gender","М","",5
"03.03.2020","age","21-24","",1
"03.03.2020","age","30-35","",3
"03.03.2020","age","35-45","",1
"03.03.2020","gender_age","Ж","30-35",1
"03.03.2020","gender_age","М","21-24",1
"03.03.2020","gender_age","М","30-35",2
"03.03.2020","gender_age","М","35-45",1
"03.03.2020","cities","Рубцовск","",1
"03.03.2020","cities","Москва","",1
"03.03.2020","cities","Минск","",1
"03.03.2020","cities","Екатеринбург","",1
"03.03.2020","countries","Россия","",6
"03.03.2020","countries","Беларусь","",1
"03.03.2020","countries","Италия","",1
"03.03.2020","countries","Кипр","",1
"02.03.2020","views","","",11
"02.03.2020","visitors","","",8
"02.03.2020","gender","М","",7
"02.03.2020","age","21-24","",1
"02.03.2020","age","30-35","",3
"02.03.2020","age","35-45","",1
"02.03.2020","age","45+","",2
"02.03.2020","gender_age","М","21-24",1
"02.03.2020","gender_age","М","30-35",3
"02.03.2020","gender_age","М","35-45",1
"02.03.2020","gender_age","М","45+",2
"02.03.2020","cities","Москва","",3
"02.03.2020","cities","Оренбург","",1
"02.03.2020","cities","Хайфа","",1
"02.03.2020","cities","Санкт-Петербург","",1
"02.03.2020","countries","Россия","",7
"02.03.2020","countries","Кипр","",1
"02.03.2020","members","Вышедшие участники","",1
"01.03.2020","views","","",38
"01.03.2020","visitors","","",11
"01.03.2020","gender","Ж","",5
"01.03.2020","gender","М","",5
"01.03.2020","age","18-21","",1
"01.03.2020","age","21-24","",1
"01.03.2020","age","27-30","",1
"01.03.2020","age","30-35","",1
"01.03.2020","age","35-45","",2
"01.03.2020","age","45+","",3
"01.03.2020","gender_age","Ж","18-21",1
"01.03.2020","gender_age","Ж","21-24",1
"01.03.2020","gender_age","Ж","30-35",1
"01.03.2020","gender_age","Ж","35-45",1
"01.03.2020","gender_age","Ж","45+",1
"01.03.2020","gender_age","М","27-30",1
"01.03.2020","gender_age","М","35-45",1
"01.03.2020","gender_age","М","45+",2
"01.03.2020","cities","Санкт-Петербург","",2
"01.03.2020","cities","Оренбург","",1
"01.03.2020","cities","Ростов-на-Дону","",1
"01.03.2020","cities","Минск","",1
"01.03.2020","cities","Таганрог","",1
"01.03.2020","cities","Краснодар","",1
"01.03.2020","countries","Россия","",10
"01.03.2020","countries","Беларусь","",1
"01.03.2020","members","Вышедшие участники","",3
"29.02.2020","views","","",8
"29.02.2020","visitors","","",7
"29.02.2020","gender","Ж","",1
"29.02.2020","gender","М","",5
"29.02.2020","age","21-24","",3
"29.02.2020","age","24-27","",1
"29.02.2020","age","30-35","",1
"29.02.2020","age","35-45","",1
"29.02.2020","gender_age","Ж","21-24",1
"29.02.2020","gender_age","М","21-24",2
"29.02.2020","gender_age","М","24-27",1
"29.02.2020","gender_age","М","30-35",1
"29.02.2020","gender_age","М","35-45",1
"29.02.2020","cities","Пермь","",1
"29.02.2020","cities","Санкт-Петербург","",1
"29.02.2020","cities","Одесса","",1
"29.02.2020","cities","Тобольск","",1
"29.02.2020","countries","Россия","",4
"29.02.2020","countries","Украина","",2
"29.02.2020","countries","Беларусь","",1
"29.02.2020","members","Новые участники","",1
"29.02.2020","members","Вышедшие участники","",1
"28.02.2020","views","","",15
"28.02.2020","visitors","","",10
"28.02.2020","gender","Ж","",4
"28.02.2020","gender","М","",6
"28.02.2020","age","1-18","",1
"28.02.2020","age","21-24","",1
"28.02.2020","age","30-35","",2
"28.02.2020","age","35-45","",1
"28.02.2020","age","45+","",2
"28.02.2020","gender_age","Ж","1-18",1
"28.02.2020","gender_age","Ж","35-45",1
"28.02.2020","gender_age","Ж","45+",2
"28.02.2020","gender_age","М","21-24",1
"28.02.2020","gender_age","М","30-35",2
"28.02.2020","cities","Москва","",1
"28.02.2020","cities","Пермь","",1
"28.02.2020","cities","Зеленоград","",1
"28.02.2020","cities","Тамбов","",1
"28.02.2020","cities","Санкт-Петербург","",1
"28.02.2020","cities","Рубцовск","",1
"28.02.2020","countries","Россия","",8
"28.02.2020","countries","Канада","",1
"28.02.2020","countries","Беларусь","",1
"28.02.2020","members","Вышедшие участники","",2
"27.02.2020","views","","",13
"27.02.2020","visitors","","",8
"27.02.2020","gender","Ж","",1
"27.02.2020","gender","М","",4
"27.02.2020","age","24-27","",1
"27.02.2020","age","30-35","",2
"27.02.2020","age","35-45","",1
"27.02.2020","age","45+","",1
"27.02.2020","gender_age","Ж","45+",1
"27.02.2020","gender_age","М","24-27",1
"27.02.2020","gender_age","М","30-35",2
"27.02.2020","gender_age","М","35-45",1
"27.02.2020","cities","Москва","",2
"27.02.2020","cities","Глухов","",1
"27.02.2020","cities","Ессентуки","",1
"27.02.2020","cities","Хабаровск","",1
"27.02.2020","countries","Россия","",7
"27.02.2020","countries","","",1
"27.02.2020","members","Вышедшие участники","",1
"26.02.2020","views","","",12
"26.02.2020","visitors","","",9
"26.02.2020","gender","Ж","",4
"26.02.2020","gender","М","",4
"26.02.2020","age","27-30","",1
"26.02.2020","age","30-35","",3
"26.02.2020","age","45+","",1
"26.02.2020","gender_age","Ж","27-30",1
"26.02.2020","gender_age","Ж","30-35",1
"26.02.2020","gender_age","Ж","45+",1
"26.02.2020","gender_age","М","30-35",2
"26.02.2020","cities","Москва","",3
"26.02.2020","cities","Санкт-Петербург","",2
"26.02.2020","cities","Рубцовск","",1
"26.02.2020","cities","Уфа","",1
"26.02.2020","countries","Россия","",9
"26.02.2020","feedback","Нравится","",1
"26.02.2020","feedback","Рассказали друзьям","",1
"26.02.2020","members","Новые участники","",1
"26.02.2020","members","Вышедшие участники","",1
"25.02.2020","views","","",26
"25.02.2020","visitors","","",20
"25.02.2020","gender","Ж","",6
"25.02.2020","gender","М","",10
"25.02.2020","age","18-21","",3
"25.02.2020","age","21-24","",1
"25.02.2020","age","27-30","",1
"25.02.2020","age","30-35","",5
"25.02.2020","age","35-45","",2
"25.02.2020","age","45+","",1
"25.02.2020","gender_age","Ж","18-21",3
"25.02.2020","gender_age","Ж","21-24",1
"25.02.2020","gender_age","Ж","30-35",1
"25.02.2020","gender_age","Ж","35-45",1
"25.02.2020","gender_age","М","27-30",1
"25.02.2020","gender_age","М","30-35",4
"25.02.2020","gender_age","М","35-45",1
"25.02.2020","gender_age","М","45+",1
"25.02.2020","cities","Санкт-Петербург","",4
"25.02.2020","cities","Москва","",2
"25.02.2020","cities","Рубцовск","",1
"25.02.2020","cities","Волгоград","",1
"25.02.2020","cities","Нижневартовск","",1
"25.02.2020","cities","Армавир","",1
"25.02.2020","cities","Одесса","",1
"25.02.2020","cities","Нижний Новгород","",1
"25.02.2020","cities","Оренбург","",1
"25.02.2020","cities","Брест","",1
"25.02.2020","countries","Россия","",18
"25.02.2020","countries","Украина","",1
"25.02.2020","countries","Беларусь","",1
"25.02.2020","sections","Видеозаписи","",2
"25.02.2020","members","Новые участники","",2
"25.02.2020","members","Вышедшие участники","",1
"24.02.2020","views","","",7
"24.02.2020","visitors","","",7
"24.02.2020","gender","М","",4
"24.02.2020","age","27-30","",1
"24.02.2020","age","35-45","",2
"24.02.2020","gender_age","М","27-30",1
"24.02.2020","gender_age","М","35-45",2
"24.02.2020","cities","Сочи","",1
"24.02.2020","cities","Кременчуг","",1
"24.02.2020","cities","Каменск-Уральский","",1
"24.02.2020","countries","Россия","",6
"24.02.2020","countries","Украина","",1
"24.02.2020","feedback","Нравится","",2
"24.02.2020","members","Новые участники","",1
"24.02.2020","members","Вышедшие участники","",1
"23.02.2020","views","","",21
"23.02.2020","visitors","","",14
"23.02.2020","gender","Ж","",1
"23.02.2020","gender","М","",8
"23.02.2020","age","30-35","",1
"23.02.2020","age","35-45","",2
"23.02.2020","age","45+","",1
"23.02.2020","gender_age","М","30-35",1
"23.02.2020","gender_age","М","35-45",2
"23.02.2020","gender_age","М","45+",1
"23.02.2020","cities","Москва","",2
"23.02.2020","cities","Одесса","",1
"23.02.2020","cities","Калининград","",1
"23.02.2020","cities","Боровск","",1
"23.02.2020","cities","Рубцовск","",1
"23.02.2020","cities","Приютово","",1
"23.02.2020","cities","Санкт-Петербург","",1
"23.02.2020","countries","Россия","",9
"23.02.2020","countries","Украина","",2
"23.02.2020","countries","Молдова","",2
"23.02.2020","countries","","",1
"23.02.2020","sections","Видеозаписи","",1
"23.02.2020","members","Новые участники","",1
"22.02.2020","views","","",13
"22.02.2020","visitors","","",9
"22.02.2020","gender","Ж","",1
"22.02.2020","gender","М","",6
"22.02.2020","age","21-24","",1
"22.02.2020","age","27-30","",1
"22.02.2020","age","30-35","",3
"22.02.2020","age","35-45","",1
"22.02.2020","gender_age","Ж","30-35",1
"22.02.2020","gender_age","М","21-24",1
"22.02.2020","gender_age","М","27-30",1
"22.02.2020","gender_age","М","30-35",2
"22.02.2020","gender_age","М","35-45",1
"22.02.2020","cities","Москва","",2
"22.02.2020","cities","Одесса","",1
"22.02.2020","cities","Ростов-на-Дону","",1
"22.02.2020","cities","Санкт-Петербург","",1
"22.02.2020","countries","Россия","",7
"22.02.2020","countries","Беларусь","",1
"22.02.2020","countries","Украина","",1
"21.02.2020","views","","",14
"21.02.2020","visitors","","",9
"21.02.2020","gender","Ж","",1
"21.02.2020","gender","М","",7
"21.02.2020","age","21-24","",1
"21.02.2020","age","24-27","",2
"21.02.2020","age","27-30","",1
"21.02.2020","age","30-35","",1
"21.02.2020","age","35-45","",2
"21.02.2020","gender_age","Ж","27-30",1
"21.02.2020","gender_age","М","21-24",1
"21.02.2020","gender_age","М","24-27",2
"21.02.2020","gender_age","М","30-35",1
"21.02.2020","gender_age","М","35-45",2
"21.02.2020","cities","Ростов-на-Дону","",1
"21.02.2020","cities","Воронеж","",1
"21.02.2020","cities","Одесса","",1
"21.02.2020","cities","Челябинск","",1
"21.02.2020","cities","Москва","",1
"21.02.2020","cities","Серпухов","",1
"21.02.2020","countries","Россия","",6
"21.02.2020","countries","Франция","",1
"21.02.2020","countries","Украина","",1
"21.02.2020","countries","Беларусь","",1
"21.02.2020","sections","Видеозаписи","",5
"21.02.2020","members","Новые участники","",2
"21.02.2020","members","Вышедшие участники","",1
"20.02.2020","views","","",19
"20.02.2020","visitors","","",13
"20.02.2020","gender","Ж","",2
"20.02.2020","gender","М","",9
"20.02.2020","age","21-24","",3
"20.02.2020","age","30-35","",1
"20.02.2020","age","35-45","",2
"20.02.2020","age","45+","",1
"20.02.2020","gender_age","Ж","45+",1
"20.02.2020","gender_age","М","21-24",3
"20.02.2020","gender_age","М","30-35",1
"20.02.2020","gender_age","М","35-45",2
"20.02.2020","cities","Москва","",3
"20.02.2020","cities","Омск","",1
"20.02.2020","cities","Волгоград","",1
"20.02.2020","cities","Рубцовск","",1
"20.02.2020","cities","Сасово","",1
"20.02.2020","cities","Одесса","",1
"20.02.2020","countries","Россия","",9
"20.02.2020","countries","Беларусь","",2
"20.02.2020","countries","Украина","",2
"20.02.2020","members","Вышедшие участники","",2
"19.02.2020","views","","",14
"19.02.2020","visitors","","",10
"19.02.2020","gender","Ж","",3
"19.02.2020","gender","М","",4
"19.02.2020","age","35-45","",3
"19.02.2020","age","45+","",1
"19.02.2020","gender_age","Ж","35-45",1
"19.02.2020","gender_age","М","35-45",2
"19.02.2020","gender_age","М","45+",1
"19.02.2020","cities","Волгоград","",2
"19.02.2020","cities","Рубцовск","",1
"19.02.2020","cities","Минск","",1
"19.02.2020","cities","Москва","",1
"19.02.2020","cities","Санкт-Петербург","",1
"19.02.2020","countries","Россия","",9
"19.02.2020","countries","Беларусь","",1
"19.02.2020","sections","Видеозаписи","",1
"19.02.2020","feedback","Нравится","",3
"19.02.2020","members","Новые участники","",1
"19.02.2020","members","Вышедшие участники","",1
"18.02.2020","views","","",12
"18.02.2020","visitors","","",11
"18.02.2020","gender","Ж","",1
"18.02.2020","gender","М","",7
"18.02.2020","age","30-35","",1
"18.02.2020","age","35-45","",2
"18.02.2020","age","45+","",1
"18.02.2020","gender_age","М","30-35",1
"18.02.2020","gender_age","М","35-45",2
"18.02.2020","gender_age","М","45+",1
"18.02.2020","cities","Ногинск","",1
"18.02.2020","cities","Волгоград","",1
"18.02.2020","cities","Минск","",1
"18.02.2020","cities","Рубцовск","",1
"18.02.2020","cities","Москва","",1
"18.02.2020","cities","Екатеринбург","",1
"18.02.2020","cities","Троицк","",1
"18.02.2020","countries","Россия","",8
"18.02.2020","countries","Беларусь","",1
"18.02.2020","countries","Казахстан","",1
"18.02.2020","countries","Украина","",1
"18.02.2020","members","Новые участники","",1
"17.02.2020","views","","",17
"17.02.2020","visitors","","",12
"17.02.2020","gender","Ж","",4
"17.02.2020","gender","М","",5
"17.02.2020","age","18-21","",1
"17.02.2020","age","21-24","",1
"17.02.2020","age","24-27","",1
"17.02.2020","age","27-30","",1
"17.02.2020","age","30-35","",4
"17.02.2020","age","45+","",1
"17.02.2020","gender_age","Ж","18-21",1
"17.02.2020","gender_age","Ж","21-24",1
"17.02.2020","gender_age","Ж","30-35",2
"17.02.2020","gender_age","М","24-27",1
"17.02.2020","gender_age","М","27-30",1
"17.02.2020","gender_age","М","30-35",2
"17.02.2020","gender_age","М","45+",1
"17.02.2020","cities","Москва","",2
"17.02.2020","cities","Wellington","",1
"17.02.2020","cities","Брест","",1
"17.02.2020","cities","Санкт-Петербург","",1
"17.02.2020","countries","Россия","",10
"17.02.2020","countries","Беларусь","",1
"17.02.2020","countries","Латвия","",1
"17.02.2020","members","Новые участники","",1
"17.02.2020","members","Вышедшие участники","",1
"16.02.2020","views","","",22
"16.02.2020","visitors","","",16
"16.02.2020","gender","Ж","",1
"16.02.2020","gender","М","",12
"16.02.2020","age","18-21","",1
"16.02.2020","age","21-24","",2
"16.02.2020","age","27-30","",1
"16.02.2020","age","30-35","",2
"16.02.2020","age","35-45","",2
"16.02.2020","age","45+","",1
"16.02.2020","gender_age","Ж","35-45",1
"16.02.2020","gender_age","М","18-21",1
"16.02.2020","gender_age","М","21-24",2
"16.02.2020","gender_age","М","27-30",1
"16.02.2020","gender_age","М","30-35",2
"16.02.2020","gender_age","М","35-45",1
"16.02.2020","gender_age","М","45+",1
"16.02.2020","cities","Санкт-Петербург","",3
"16.02.2020","cities","Москва","",2
"16.02.2020","cities","Владивосток","",1
"16.02.2020","cities","Одесса","",1
"16.02.2020","cities","Луганск","",1
"16.02.2020","cities","Волгоград","",1
"16.02.2020","cities","Пермь","",1
"16.02.2020","countries","Россия","",12
"16.02.2020","countries","Украина","",2
"16.02.2020","countries","Беларусь","",2
"16.02.2020","members","Новые участники","",1
"16.02.2020","members","Вышедшие участники","",2
"15.02.2020","views","","",15
"15.02.2020","visitors","","",9
"15.02.2020","gender","Ж","",2
"15.02.2020","gender","М","",6
"15.02.2020","age","24-27","",1
"15.02.2020","age","30-35","",5
"15.02.2020","age","45+","",1
"15.02.2020","gender_age","Ж","30-35",1
"15.02.2020","gender_age","Ж","45+",1
"15.02.2020","gender_age","М","24-27",1
"15.02.2020","gender_age","М","30-35",4
"15.02.2020","cities","Москва","",3
"15.02.2020","cities","Санкт-Петербург","",2
"15.02.2020","cities","Екатеринбург","",1
"15.02.2020","cities","Люберцы","",1
"15.02.2020","countries","Россия","",6
"15.02.2020","countries","Азербайджан","",1
"15.02.2020","countries","Беларусь","",1
"15.02.2020","countries","Украина","",1
"15.02.2020","sections","Видеозаписи","",1
"15.02.2020","members","Вышедшие участники","",2
"14.02.2020","views","","",21
"14.02.2020","visitors","","",17
"14.02.2020","gender","Ж","",3
"14.02.2020","gender","М","",12
"14.02.2020","age","18-21","",1
"14.02.2020","age","21-24","",1
"14.02.2020","age","24-27","",1
"14.02.2020","age","30-35","",6
"14.02.2020","age","35-45","",4
"14.02.2020","gender_age","Ж","18-21",1
"14.02.2020","gender_age","Ж","30-35",1
"14.02.2020","gender_age","Ж","35-45",1
"14.02.2020","gender_age","М","21-24",1
"14.02.2020","gender_age","М","24-27",1
"14.02.2020","gender_age","М","30-35",5
"14.02.2020","gender_age","М","35-45",3
"14.02.2020","cities","Москва","",3
"14.02.2020","cities","Санкт-Петербург","",2
"14.02.2020","cities","Кишинев","",1
"14.02.2020","cities","Рубцовск","",1
"14.02.2020","cities","Серпухов","",1
"14.02.2020","cities","Firenze","",1
"14.02.2020","cities","Пермь","",1
"14.02.2020","cities","Минск","",1
"14.02.2020","cities","Одесса","",1
"14.02.2020","cities","Магнитогорск","",1
"14.02.2020","countries","Россия","",13
"14.02.2020","countries","Молдова","",1
"14.02.2020","countries","Италия","",1
"14.02.2020","countries","Беларусь","",1
"14.02.2020","countries","Украина","",1
"14.02.2020","sections","Видеозаписи","",1
"14.02.2020","feedback","Комментарии","",1
"14.02.2020","members","Новые участники","",1
"14.02.2020","members","Вышедшие участники","",2
"13.02.2020","views","","",26
"13.02.2020","visitors","","",10
"13.02.2020","gender","Ж","",2
"13.02.2020","gender","М","",7
"13.02.2020","age","18-21","",2
"13.02.2020","age","30-35","",2
"13.02.2020","age","35-45","",2
"13.02.2020","gender_age","Ж","30-35",1
"13.02.2020","gender_age","М","18-21",2
"13.02.2020","gender_age","М","30-35",1
"13.02.2020","gender_age","М","35-45",2
"13.02.2020","cities","Саянск","",2
"13.02.2020","cities","Кишинев","",1
"13.02.2020","cities","Рубцовск","",1
"13.02.2020","cities","Санкт-Петербург","",1
"13.02.2020","cities","Тамбов","",1
"13.02.2020","cities","Новая Земля","",1
"13.02.2020","countries","Россия","",8
"13.02.2020","countries","Молдова","",1
"13.02.2020","countries","Казахстан","",1
"13.02.2020","members","Новые участники","",1
"13.02.2020","members","Вышедшие участники","",2
"12.02.2020","views","","",16
"12.02.2020","visitors","","",8
"12.02.2020","gender","Ж","",1
"12.02.2020","gender","М","",7
"12.02.2020","age","27-30","",1
"12.02.2020","age","30-35","",1
"12.02.2020","age","35-45","",4
"12.02.2020","age","45+","",1
"12.02.2020","gender_age","Ж","45+",1
"12.02.2020","gender_age","М","27-30",1
"12.02.2020","gender_age","М","30-35",1
"12.02.2020","gender_age","М","35-45",4
"12.02.2020","cities","Саянск","",2
"12.02.2020","cities","Рубцовск","",1
"12.02.2020","cities","Москва","",1
"12.02.2020","cities","Коломна","",1
"12.02.2020","cities","Глухов","",1
"12.02.2020","countries","Россия","",6
"12.02.2020","countries","Украина","",1
"12.02.2020","countries","Нидерланды","",1
"12.02.2020","sections","Видеозаписи","",2
"12.02.2020","feedback","Нравится","",1
"12.02.2020","members","Новые участники","",1
"11.02.2020","views","","",13
"11.02.2020","visitors","","",10
"11.02.2020","gender","М","",9
"11.02.2020","age","18-21","",1
"11.02.2020","age","27-30","",1
"11.02.2020","age","30-35","",3
"11.02.2020","age","35-45","",2
